Virtual address: 11111011010011, Physical address: 11000011010011, Value: 60195114610411854788068954264812294224633901444535848070947236679087243897457652861947381432172231500259639500500678966717082399143164705726425774903885304746387789799145087723923358246085204261616115068931597361519914010653334467818791585892627184772445850670396451966485861453743284614900951118082009686698097460010720303542980587407801054595788826814343215224790049721193187618509833682437769442709023581697462276983193108362127819806940348036361540134404334912097700145515739196769344700725621032402397290945856121724281680277387333203129570683688708092202287943147431242121597239809128277221259925790924671
Virtual address: 1011111101010111, Physical address: 11000101010111, Value: 0
Virtual address: 110111110001111, Physical address: 11001010001111, Value: 107388084464973375445721297713294348078295530303215088805310390082665055548984887991250699503904303500648559586771590693942962910764587670975895245373462799336505934772752354153051601535873490766793070906017865974941809879903838530305965548806568894121710658700552058827513397169063688411267127789354029553846689262971119759544550946713955673375426806826846824276896696110761142705969344381773705106555357684249718913554902502332462315317280648104332137202757372863288090361166092444778462623946340984543924324172282310249800707510657571052260334284437977818254875403755141429664582359981099196378161751244421119
Virtual address: 10111101100000, Physical address: 11001101100000, Value: 45266726187030149273913621133149603719904202519851598450893586112649364701566384606759597144175351581769266820149676277492569176079245196310777268939018954416860621491167278955525648634009317714060139242914512391968089807114909713358563087419849705284413105273102331428813885870325605862989201354720452381783746991727328638889422616606874593553250282116510440932797130965309446723497131318362116324553550549257462728679897279657226091635302089851595330857680414743864005281381443781582786990319066761827016290639537633517229743091352870210037186279370061546206061297444992305245755007917994619120607307535226815
Virtual address: 1000000011100100, Physical address: 11010011100100, Value: 0
Virtual address: 1100110011111000, Physical address: 11010111111000, Value: 0
Virtual address: 1010100011001110, Physical address: 11011011001110, Value: 0
Virtual address: 101110111001011, Physical address: 11011111001011, Value: 90051891457175265816379620528137675234093299293904347311054537811963002289240189372322950008165991337240384861202684345166108845271003724557722786833618005405442126415100705260718777470236977356728066720965767300623562417730183976739248582838182143748511341464984693041829812620578642118724450644805124296526798396577503632850096529009653976680865916210008763808775887232960669408535238410589075679019969646577461373589784765771931276150216864405893958687852175248565089873784330027142460121538729573553159291558493098138385554649456259189314339492326001184194741234552309115873281703591395593422565162302320383
Virtual address: 1101010100100111, Physical address: 11100000100111, Value: 0
Virtual address: 1111000010110001, Physical address: 11100110110001, Value: 0
Virtual address: 110111011100, Physical address: 11101011011100, Value: 13002144755850334130416610816330240370972272585856607336584083275509432245930417732644063360440159499870719414229767239491201887521741740476956304434307810156269644825537821294795114956296917756439159231845328748098018141402830405331617622978685475423181042640240845105458325738422880818534774446809989819549505657050320847541410228101646435816150846801839606172683403331625232531050322983101833778862689479145205640411483714391793324296600047968390943066051296960907309929865385948760226777504901080260870257719429933198762653044117095353998807082939438366149700482539721054578612119637157358064358100337428223
Virtual address: 1101100010111111, Physical address: 11101110111111, Value: 0
Virtual address: 1111110101111001, Physical address: 11110001111001, Value: 0
Virtual address: 10100010111011, Physical address: 11110110111011, Value: 39006434267547498574429126594065249637275619099822719577967861681562512135547465661035687604047627744982981502583126762656482985762117660104214992244075001052865357362015294633294351054751687871536665509423476759575389334663312235681693071931265600982980018493591893783983702561150450257348790163633347705529341956640745037583091854658098980857992182727096696874864616648325942477201481939878777920165771535653591950359160319232589883047195723516048210838409093382991810660938029575214230531116318196747017806640113751365885382335919063148417799271107403317239901736343969525265563104221712762497752983750579327
Virtual address: 1110111000011101, Physical address: 11111000011101, Value: 0
Virtual address: 110010000001101, Physical address: 11111100001101, Value: 96312183376657916515864115067222029316721882713933226183980262243049854855259108318046859548293715174026670178769233860002195035588131260764285063528561958769437390544252689582950075049494607199251540454456802933016262890181781454416118598326766248049944428244495130686659995929753797724364861835892228972781203431664087234156427290958429589376124015599422507866708401549944173654830887789072414083407748660181332151910521726196567484738323230741441078707123496609437284494227744233511016580741478138633157775557916980289729915404890066250933726500588659413160900795653331895853473607287677450045419486086967871
Virtual address: 100101101011011, Physical address: 100000001011011, Value: 72234137532493875364000674532282205921996561867668307441958245200408114216724804680647207470879392724848649726590197264478786611291486890739045537778777522754070990047514288343598930513888338574161256864106665885352030303829483463351233923370673539198278709861762678206543906279080122318055588024018749448725799450561842613747462821924677232855900556409369646105429500330776849630616851717982650989608598607858752235292302647640274374784067975604721386325310722144544228261753074209016568660730906734479317452483209741246097758653221577552397622622655358532521825560649398126698889362301978001495979779222939071
Virtual address: 101100011, Physical address: 100000101100011, Value: 963121833768313554484890548860328673609612162724147965573074754188561926663265913944237321732998275281709188140248941729497675373419555464336541559415592148586444577168620675119542688493783443894017436670260224265901848226681409799175285500639120997348183448874618865400280913086043115380137540873250057521803666499198537336927993584770257556039117206813175292043952722041570518943304947556952231963114452983915682102374175113646769319472420400031096875144909728460781813628050936513002817499615378183950096182076313676946574668282851004730755143972787925830162865037754170001319997144307633789638246905413823
Virtual address: 100111001000100, Physical address: 100001001000100, Value: 75123503033793560302224287396474984729363600369220097691000887245525123093348921117135165720169111418750012180851681655941595622207084215142074280868751655075914958107122896492321067858161090809172090894948682331071738214191759222279020084365404664260478596067690572504157837037160963366812700881443566991612447928294111968196538558208727515638327371512175989516782968477076928513522536046513422560864496614137461825286488937067029547978578606221127749411128255080331395009650034611955902411132175302977778291252174609931333617463421796196221955088007354638198514588849870178997439471700261935321912544046622527
Virtual address: 1100010000001011, Physical address: 100001100001011, Value: 0
